,Palavra PT,Significado PT,Audio PT,Palavra Original,Significado Original,Audio Original,Lingua
,parra,parar (um barco); remar mais lentamente,,parar,Região de uso: África do Sul,,Africanense
,sambreel,"sombrinha, guarda-sol",,sombreiro,Região de uso: África do Sul,,Africanense
,paun-ruti,pão,,pão,"Região de uso: leste da Índia, Bangladesh",,bengali
,rial,moeda do Cambodja,,real,Região de uso: Camboja,,cambojano
,kendiya,vela,,candeia,Região de uso: Sri Lanka,,cingalês
, koppu,copo,,copo,Região de uso: Japão,,japonês
, furasuko,frasco,,frasco,Região de uso: Japão,,japonês
, marumero,marmelo,,marmelo,Região de uso: Japão,,japonês
, pan,pão,,pão,Região de uso: Japão,,japonês
, tenpura,pedaços fritos de vegetais ou frutos do mar empanados,,"têmpora(s) (dias de jejum religioso)",Região de uso: Japão,,japonês
, kadalaas,"papel (com origem em cartaz, licença de navegação usada a partir do séc. XVI, emitida pelos portugueses) ",,cartaz ,Região de uso: Estado de Querala (sul da Índia),,malabar / malaiala 
, mesthiri,"supervisor, capaz",,mestre,Região de uso: Estado de Querala (sul da Índia),,malabar/malaiala (de ‘mestre’)
, pena,caneta,,pena,Região de uso: Estado de Querala (sul da Índia),,malabar/malaiala 
, thaal,página,,talão,Região de uso: Estado de Querala (sul da Índia),,malabar/malaiala 
, almari,armário,,armário,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, bangku,banco,,banco,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, bendera,bandeira,,bandeira,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, bola,bola,,bola,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, bomba,bombeiro,,bomba,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, boneka,boneca,,boneca,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, kemeja,camisa,,camisa,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, kereta,"carro, carruagem",,carreta,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, sekolah,escolar,,escola,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, pesta,festa,,festa,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, pita,fita,,fita,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, garpu,garfo,,garfo,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, lemau,limão / laranja ,,limão,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, meja,mesa,,mesa,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, kejo,queijo,,"queijo","Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, ronda,patrulhar,,ronda,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, tuala,toalha,,toalha,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, biola,violin,,viola,"Região de uso: Malásia, Indonésia, Brunei, Singapura",,malaio
, karata,carta,,carta,Região de uso: África Oriental (Grandes Lagos),,suaíli
, kopa,copa (naipe),,copa,Região de uso: África Oriental (Grandes Lagos),,suaíli
, dadu,dado,,dado,Região de uso: África Oriental (Grandes Lagos),,suaíli
, dama,damas (jogo) ,,damas,Região de uso: África Oriental (Grandes Lagos),,suaíli
, shupaza,espada (naipe),,espada,Região de uso: África Oriental (Grandes Lagos),,suaíli
, uru,ouro (naipe),,ouro,Região de uso: África Oriental (Grandes Lagos),,suaíli
, pao,paus (naipe),,paus,Região de uso: África Oriental (Grandes Lagos),,suaíli
, turufu,trunfo (jogo de cartas),,trunfo,Região de uso: África Oriental (Grandes Lagos),,suaíli
